DeploymentID	Location	Demand	DwellBeforeDeploy	BogBudget	CycleTime	DeployInterval	DeployDate	FillType	FillCount	UnitType	DemandType	DemandGroup	Unit	Policy	AtomicPolicy	Component	Period	FillPath	PathLength	FollowOn	FollowOnCount	DeploymentCount
240	OS_Deployable	1_R21_SRC3_[595...963]	1263	110	1423	820	4/14/2015	Primary	821	SRC3	SRC3	Large	68_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	1	3
241	Available	1_R21_SRC3_[595...963]	459	79	650	820	4/14/2015	Primary	822	SRC3	SRC3	Large	281_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	4
242	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	829	4/23/2015	Primary	823	SRC3	SRC3	Large	44_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
243	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	838	5/2/2015	Primary	824	SRC3	SRC3	Large	43_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
244	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	847	5/11/2015	Primary	825	SRC3	SRC3	Large	42_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
245	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	856	5/20/2015	Primary	826	SRC3	SRC3	Large	41_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
246	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	865	5/29/2015	Primary	827	SRC3	SRC3	Large	40_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
247	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	874	6/7/2015	Primary	828	SRC3	SRC3	Large	39_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
248	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	883	6/16/2015	Primary	829	SRC3	SRC3	Large	38_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
249	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	892	6/25/2015	Primary	830	SRC3	SRC3	Large	37_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
230	1_R35_SRC3_[811...901]	1_R36_SRC3_[901...1981]	1225	180	1315	901	7/4/2015	Primary	831	SRC3	SRC3	V4	47_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	2
229	1_R35_SRC3_[811...901]	1_R36_SRC3_[901...1981]	1216	180	1306	901	7/4/2015	Primary	832	SRC3	SRC3	V4	46_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	2
231	1_R35_SRC3_[811...901]	1_R36_SRC3_[901...1981]	215	147	338	901	7/4/2015	Primary	833	SRC3	SRC3	V4	225_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	3
232	1_R35_SRC3_[811...901]	1_R36_SRC3_[901...1981]	1249	132	1387	901	7/4/2015	Primary	834	SRC3	SRC3	V4	55_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	3
233	1_R35_SRC3_[811...901]	1_R36_SRC3_[901...1981]	1250	79	1441	901	7/4/2015	Primary	835	SRC3	SRC3	V4	61_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	TRUE	1	4
250	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	901	7/4/2015	Primary	836	SRC3	SRC3	Large	36_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
251	Ready_Deployable	1_R21_SRC3_[595...963]	182	114	338	901	7/4/2015	Primary	837	SRC3	SRC3	Large	226_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
252	Available	1_R21_SRC3_[595...963]	183	48	405	901	7/4/2015	Primary	838	SRC3	SRC3	Large	270_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	3
253	Available	1_R21_SRC3_[595...963]	381	46	605	901	7/4/2015	Primary	839	SRC3	SRC3	Large	263_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	3
254	OS_Available	1_R21_SRC3_[595...963]	1253	46	1477	901	7/4/2015	Primary	840	SRC3	SRC3	Large	65_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	3
255	Ready_Deployable	1_R21_SRC3_[595...963]	182	270	182	903	7/6/2015	Primary	841	SRC3	SRC3	Large	213_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
256	Ready_Deployable	1_R21_SRC3_[595...963]	182	270	182	903	7/6/2015	Primary	842	SRC3	SRC3	Large	214_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
