rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-7400150545808261020	63426K000	phase-1	0	0	4329	0	0	120	6132	0	0	0	0	0	1391	0	0	5840	0	0	40
-442085989067090995	63426K000	comp	0	0	4533	0	0	600	12315	0	0	0	0	0	26886	0	0	32019	0	0	39
-442085989067090995	63426K000	phase-1	0	0	5255	0	0	60	6132	0	0	0	0	0	379	0	0	5694	0	0	39
1421969441671016819	63426K000	comp	0	0	5056	0	0	734	12315	0	0	0	0	0	25408	0	0	31198	0	0	38
1421969441671016819	63426K000	phase-1	0	0	5003	0	0	60	6132	0	0	0	0	0	485	0	0	5548	0	0	38
-4148290888502147866	63426K000	comp	0	0	4597	0	0	525	12315	0	0	0	0	0	25255	0	0	30377	0	0	37
-4148290888502147866	63426K000	phase-1	0	0	4333	0	0	121	6132	0	0	0	0	0	948	0	0	5402	0	0	37
5143363558960181380	87010K100	comp	720	0	1536	60	0	180	4105	0	0	0	2504	0	4031	3284	0	5747	4	0	7
5143363558960181380	87010K100	phase-1	554	0	751	30	0	30	1606	0	0	0	0	0	241	584	0	1022	4	0	7
-1859333492470500327	87010K100	comp	945	0	562	90	0	90	4105	0	0	0	2249	0	4274	3284	0	4926	4	0	6
-1859333492470500327	87010K100	phase-1	584	0	876	0	0	0	1606	0	0	0	0	0	0	584	0	876	4	0	6
6896059675492935315	87010K100	comp	952	0	703	120	0	90	4105	0	0	0	2212	0	3312	3284	0	4105	4	0	5
6896059675492935315	87010K100	phase-1	584	0	589	0	0	30	1606	0	0	0	0	0	111	584	0	730	4	0	5
7956256943701054793	87010K100	comp	1109	0	272	120	0	30	4105	0	0	0	2055	0	2982	3284	0	3284	4	0	4
7956256943701054793	87010K100	phase-1	584	0	464	0	0	30	1606	0	0	0	0	0	90	584	0	584	4	0	4
6130300700125639356	87010K100	comp	1056	0	480	120	0	60	4105	0	0	0	2108	0	1923	3284	0	2463	4	0	3
6130300700125639356	87010K100	phase-1	584	0	438	0	0	0	1606	0	0	0	0	0	0	584	0	438	4	0	3
5813444792121706410	87010K100	comp	726	0	1037	60	0	180	4105	0	0	0	1677	0	4530	2463	0	5747	3	0	7
5813444792121706410	87010K100	phase-1	408	0	1022	30	0	0	1606	0	0	0	0	0	0	438	0	1022	3	0	7
8167036740886373615	87010K100	comp	898	0	664	60	0	60	4105	0	0	0	1505	0	4202	2463	0	4926	3	0	6
8167036740886373615	87010K100	phase-1	408	0	578	30	0	30	1606	0	0	0	0	0	268	438	0	876	3	0	6
1779205446909981075	87010K100	comp	911	0	484	60	0	60	4105	0	0	0	1492	0	3561	2463	0	4105	3	0	5
1779205446909981075	87010K100	phase-1	408	0	711	30	0	0	1606	0	0	0	0	0	19	438	0	730	3	0	5
-4701091776137646109	87010K100	comp	515	0	448	30	0	60	4105	0	0	0	1918	0	2776	2463	0	3284	3	0	4
-4701091776137646109	87010K100	phase-1	408	0	539	30	0	0	1606	0	0	0	0	0	45	438	0	584	3	0	4
3151805846500148631	87010K100	comp	917	0	504	90	0	35	4105	0	0	0	1456	0	1924	2463	0	2463	3	0	3
3151805846500148631	87010K100	phase-1	438	0	202	0	0	30	1606	0	0	0	0	0	206	438	0	438	3	0	3
-3589907606631496118	87010K100	comp	409	0	1013	30	0	150	4105	0	0	0	1203	0	4584	1642	0	5747	2	0	7
-3589907606631496118	87010K100	phase-1	262	0	876	30	0	0	1606	0	0	0	0	0	146	292	0	1022	2	0	7
2578662857760572629	87010K100	comp	519	0	281	60	0	90	4105	0	0	0	1063	0	4555	1642	0	4926	2	0	6
2578662857760572629	87010K100	phase-1	292	0	876	0	0	0	1606	0	0	0	0	0	0	292	0	876	2	0	6
1714566115664828231	87010K100	comp	670	0	443	60	0	120	4105	0	0	0	912	0	3542	1642	0	4105	2	0	5
1714566115664828231	87010K100	phase-1	292	0	730	0	0	0	1606	0	0	0	0	0	0	292	0	730	2	0	5
498612969661829775	87010K100	comp	670	0	580	60	0	90	4105	0	0	0	912	0	2614	1642	0	3284	2	0	4
498612969661829775	87010K100	phase-1	292	0	385	0	0	30	1606	0	0	0	0	0	169	292	0	584	2	0	4
-8331754271271805412	87010K100	comp	670	0	453	60	0	60	4105	0	0	0	912	0	1950	1642	0	2463	2	0	3
-8331754271271805412	87010K100	phase-1	292	0	389	0	0	0	1606	0	0	0	0	0	49	292	0	438	2	0	3
5205639603036122361	87010K100	comp	335	0	1040	30	0	132	4105	0	0	0	456	0	4575	821	0	5747	1	0	7
5205639603036122361	87010K100	phase-1	146	0	784	0	0	0	1606	0	0	0	0	0	238	146	0	1022	1	0	7
-599605523670828760	87010K100	comp	335	0	692	30	0	41	4105	0	0	0	456	0	4193	821	0	4926	1	0	6
-599605523670828760	87010K100	phase-1	146	0	494	0	0	30	1606	0	0	0	0	0	352	146	0	876	1	0	6
-1761644217722429613	87010K100	comp	335	0	788	30	0	150	4105	0	0	0	456	0	3167	821	0	4105	1	0	5
-1761644217722429613	87010K100	phase-1	146	0	730	0	0	0	1606	0	0	0	0	0	0	146	0	730	1	0	5
6344612640102792207	87010K100	comp	151	0	480	30	0	60	4105	0	0	0	640	0	2744	821	0	3284	1	0	4
6344612640102792207	87010K100	phase-1	146	0	438	0	0	0	1606	0	0	0	0	0	146	146	0	584	1	0	4
259284207875572025	87010K100	comp	335	0	289	30	0	60	4105	0	0	0	456	0	2114	821	0	2463	1	0	3
259284207875572025	87010K100	phase-1	146	0	438	0	0	0	1606	0	0	0	0	0	0	146	0	438	1	0	3
-3512368398545768134	87010K100	comp	0	0	761	0	0	120	4105	0	0	0	0	0	4866	0	0	5747	0	0	7
-3512368398545768134	87010K100	phase-1	0	0	772	0	0	0	1606	0	0	0	0	0	250	0	0	1022	0	0	7
-8826872130938906823	87010K100	comp	0	0	567	0	0	90	4105	0	0	0	0	0	4269	0	0	4926	0	0	6
-8826872130938906823	87010K100	phase-1	0	0	749	0	0	0	1606	0	0	0	0	0	127	0	0	876	0	0	6
-3040843324269085054	87010K100	comp	0	0	580	0	0	60	4105	0	0	0	0	0	3465	0	0	4105	0	0	5
-3040843324269085054	87010K100	phase-1	0	0	724	0	0	6	1606	0	0	0	0	0	0	0	0	730	0	0	5
-7683776282623137626	87010K100	comp	0	0	431	0	0	90	4105	0	0	0	0	0	2763	0	0	3284	0	0	4
-7683776282623137626	87010K100	phase-1	0	0	584	0	0	0	1606	0	0	0	0	0	0	0	0	584	0	0	4
-5750844945153203929	87010K100	comp	0	0	240	0	0	30	4105	0	0	0	0	0	2193	0	0	2463	0	0	3
-5750844945153203929	87010K100	phase-1	0	0	438	0	0	0	1606	0	0	0	0	0	0	0	0	438	0	0	3
-8183304034292621653	06465K000	comp	855	0	228	90	0	30	2463	0	0	0	2339	0	3026	3284	0	3284	4	0	4
-8183304034292621653	06465K000	phase-1	232	0	498	0	0	30	730	352	0	0	0	0	56	584	0	584	4	0	4
2135213026553951494	06465K000	comp	712	0	619	30	0	60	2463	116	0	43	2426	0	1741	3284	0	2463	4	0	3
